,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity
35,1753269522,5.0,0.0,0.0,224.58614393962085,5.0,224.723925,281.644687,70.0,-493.0
36,1753269527,5.0,0.0,0.0,224.58614393962085,5.0,252.460057,278.158025,70.0,-490.0
37,1753269532,5.0,0.0,0.0,224.58614393962085,5.0,252.460057,278.158025,70.0,-490.0
38,1753269537,5.0,0.0,0.0,224.58614393962085,5.0,252.460057,278.158025,70.0,-490.0
39,1753269542,5.0,0.0,0.0,224.58614393962085,5.0,252.460057,278.158025,70.0,-490.0
40,1753269547,5.0,0.0,0.0,541.814877978895,5.0,252.460057,278.158025,70.0,-490.0
41,1753269552,5.0,0.0,0.0,541.814877978895,5.0,252.460057,278.158025,70.0,-490.0
42,1753269557,11.0,0.0,0.0,541.814877978895,11.0,378.822752,722.270553,70.0,-934.0
43,1753269562,11.0,0.0,0.0,541.814877978895,11.0,378.822752,722.270553,70.0,-934.0
44,1753269567,11.0,0.0,0.0,541.814877978895,11.0,378.822752,722.270553,70.0,-934.0
45,1753269572,11.0,0.0,0.0,541.814877978895,11.0,378.822752,722.270553,70.0,-934.0
46,1753269577,11.0,0.0,0.0,277.22554397021196,11.0,378.822752,722.270553,70.0,-934.0
47,1753269582,11.0,0.0,0.0,277.22554397021196,11.0,378.822752,722.270553,70.0,-934.0
48,1753269587,11.0,0.0,0.0,277.22554397021196,11.0,465.305655,349.479514,70.0,-561.0
49,1753269592,11.0,0.0,0.0,277.22554397021196,11.0,465.305655,349.479514,70.0,-561.0
50,1753269597,11.0,0.0,0.0,277.22554397021196,11.0,465.305655,349.479514,70.0,-561.0
51,1753269602,11.0,0.0,0.0,277.22554397021196,11.0,465.305655,349.479514,70.0,-561.0
52,1753269607,11.0,0.0,0.0,414.1931681347127,11.0,465.305655,349.479514,70.0,-561.0
53,1753269612,11.0,0.0,0.0,414.1931681347127,11.0,465.305655,349.479514,70.0,-561.0
54,1753269617,11.0,0.0,0.0,414.1931681347127,11.0,420.170912,329.123101,70.0,-541.0
55,1753269622,11.0,0.0,0.0,414.1931681347127,11.0,420.170912,329.123101,70.0,-541.0
56,1753269627,11.0,0.0,0.0,414.1931681347127,11.0,420.170912,329.123101,70.0,-541.0
57,1753269632,11.0,0.0,0.0,414.1931681347127,11.0,420.170912,329.123101,70.0,-541.0
58,1753269637,11.0,0.0,0.0,260.0,11.0,420.170912,329.123101,70.0,-541.0
59,1753269642,11.0,0.0,0.0,260.0,11.0,420.170912,329.123101,70.0,-541.0
60,1753269647,11.0,0.0,0.0,260.0,11.0,349.300958,310.802758,70.0,-522.0
61,1753269652,11.0,0.0,0.0,260.0,11.0,349.300958,310.802758,70.0,-522.0
62,1753269657,11.0,0.0,0.0,260.0,11.0,349.300958,310.802758,70.0,-522.0
63,1753269662,11.0,0.0,0.0,260.0,11.0,349.300958,310.802758,70.0,-522.0
64,1753269667,11.0,0.0,0.0,421.1264954881281,11.0,349.300958,310.802758,70.0,-522.0
65,1753269672,11.0,0.0,0.0,421.1264954881281,11.0,349.300958,310.802758,70.0,-522.0
66,1753269677,11.0,0.0,0.0,421.1264954881281,11.0,349.540369,466.576732,70.0,-678.0
67,1753269682,11.0,0.0,0.0,421.1264954881281,11.0,349.540369,466.576732,70.0,-678.0
68,1753269687,11.0,0.0,0.0,421.1264954881281,11.0,349.540369,466.576732,70.0,-678.0
69,1753269692,11.0,0.0,0.0,421.1264954881281,11.0,349.540369,466.576732,70.0,-678.0
70,1753269697,11.0,0.0,0.0,335.7322304938922,11.0,349.540369,466.576732,70.0,-678.0
71,1753269702,11.0,0.0,0.0,335.7322304938922,11.0,349.540369,466.576732,70.0,-678.0
72,1753269707,11.0,0.0,0.0,335.7322304938922,11.0,402.955811,418.970806,70.0,-630.0
73,1753269712,11.0,0.0,0.0,335.7322304938922,11.0,402.955811,418.970806,70.0,-630.0
74,1753269717,11.0,0.0,0.0,335.7322304938922,11.0,402.955811,418.970806,70.0,-630.0
75,1753269722,11.0,0.0,0.0,335.7322304938922,11.0,402.955811,418.970806,70.0,-630.0
76,1753269727,11.0,0.0,0.0,462.05122067936566,11.0,402.955811,418.970806,70.0,-630.0
77,1753269732,11.0,0.0,0.0,462.05122067936566,11.0,402.955811,418.970806,70.0,-630.0
78,1753269737,11.0,0.0,0.0,462.05122067936566,11.0,425.457386,353.686452,70.0,-565.0
79,1753269742,11.0,0.0,0.0,462.05122067936566,11.0,425.457386,353.686452,70.0,-565.0
80,1753269747,11.0,0.0,0.0,462.05122067936566,11.0,425.457386,353.686452,70.0,-565.0
81,1753269752,11.0,0.0,0.0,462.05122067936566,11.0,425.457386,353.686452,70.0,-565.0
82,1753269757,11.0,0.0,0.0,328.0,11.0,425.457386,353.686452,70.0,-565.0
83,1753269762,11.0,0.0,0.0,328.0,11.0,425.457386,353.686452,70.0,-565.0
84,1753269767,11.0,0.0,0.0,328.0,11.0,400.098482,384.882486,70.0,-596.0
85,1753269772,11.0,0.0,0.0,328.0,11.0,400.098482,384.882486,70.0,-596.0
86,1753269777,11.0,0.0,0.0,328.0,11.0,400.098482,384.882486,70.0,-596.0
87,1753269782,11.0,0.0,0.0,328.0,11.0,400.098482,384.882486,70.0,-596.0
88,1753269787,11.0,0.0,0.0,405.86414524226024,11.0,400.098482,384.882486,70.0,-596.0
89,1753269792,11.0,0.0,0.0,405.86414524226024,11.0,400.098482,384.882486,70.0,-596.0
90,1753269797,11.0,0.0,0.0,405.86414524226024,11.0,374.111242,354.309426,70.0,-566.0
91,1753269802,11.0,0.0,0.0,405.86414524226024,11.0,374.111242,354.309426,70.0,-566.0
92,1753269807,11.0,0.0,0.0,405.86414524226024,11.0,374.111242,354.309426,70.0,-566.0
93,1753269812,11.0,0.0,0.0,405.86414524226024,11.0,374.111242,354.309426,70.0,-566.0
94,1753269817,11.0,0.0,0.0,473.0,11.0,374.111242,354.309426,70.0,-566.0
95,1753269822,11.0,0.0,0.0,473.0,11.0,374.111242,354.309426,70.0,-566.0
96,1753269827,11.0,0.0,0.0,473.0,11.0,418.694018,437.964599,70.0,-649.0
97,1753269832,11.0,0.0,0.0,473.0,11.0,418.694018,437.964599,70.0,-649.0
98,1753269837,11.0,0.0,0.0,473.0,11.0,418.694018,437.964599,70.0,-649.0
99,1753269842,11.0,0.0,0.0,473.0,11.0,418.694018,437.964599,70.0,-649.0
100,1753269847,11.0,0.0,0.0,378.5084708115083,11.0,418.694018,437.964599,70.0,-649.0
101,1753269852,11.0,0.0,0.0,378.5084708115083,11.0,418.694018,437.964599,70.0,-649.0
102,1753269857,11.0,0.0,0.0,378.5084708115083,11.0,408.739707,378.754697,70.0,-590.0
103,1753269862,11.0,0.0,0.0,378.5084708115083,11.0,408.739707,378.754697,70.0,-590.0
104,1753269867,11.0,0.0,0.0,378.5084708115083,11.0,408.739707,378.754697,70.0,-590.0
105,1753269872,11.0,0.0,0.0,378.5084708115083,11.0,408.739707,378.754697,70.0,-590.0
106,1753269877,11.0,0.0,0.0,375.8822719875095,11.0,408.739707,378.754697,70.0,-590.0
107,1753269882,11.0,0.0,0.0,375.8822719875095,11.0,408.739707,378.754697,70.0,-590.0
108,1753269887,11.0,0.0,0.0,375.8822719875095,11.0,379.958281,349.083393,70.0,-561.0
109,1753269892,11.0,0.0,0.0,375.8822719875095,11.0,379.958281,349.083393,70.0,-561.0
110,1753269897,11.0,0.0,0.0,375.8822719875095,11.0,379.958281,349.083393,70.0,-561.0
111,1753269902,11.0,0.0,0.0,375.8822719875095,11.0,379.958281,349.083393,70.0,-561.0
112,1753269907,11.0,0.0,0.0,421.66854977125803,11.0,379.958281,349.083393,70.0,-561.0
113,1753269912,11.0,0.0,0.0,421.66854977125803,11.0,379.958281,349.083393,70.0,-561.0
114,1753269917,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
115,1753269922,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
116,1753269927,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
117,1753269932,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
118,1753269937,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
119,1753269942,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
120,1753269947,11.0,0.0,0.0,421.66854977125803,11.0,392.47152,453.511093,70.0,-665.0
