,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
111,1752238608,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.026634007621585618
112,1752238613,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.02737695663695839
113,1752238618,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.02758678190458435
114,1752238623,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.024602289641675223
115,1752238628,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.02734007182367914
116,1752238633,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.02670507481328781
117,1752238638,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.025116717073316714
118,1752238643,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.019735376818280092
119,1752238648,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.017852290950224774
120,1752238653,5.0,0.0,5.0,0.0,5.0,0.130755,0.119679,70.0,288.0,0.015395996318364474
