index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods
1759512079,0.0,0.0,0.0
1759512084,0.0,0.0,0.0
1759512089,0.0,0.0,0.0
1759512094,0.0,0.0,0.0
1759512099,0.0,0.0,0.0
1759512099,0.0,0.0,0.0
1759512104,0.0,0.0,0.0
1759512109,0.0,0.0,0.0
1759512114,0.0,0.0,0.0
1759512119,0.0,0.0,0.0
1759512124,0.0,0.0,0.0
1759512129,0.0,0.0,0.0
1759512134,0.0,0.0,0.0
1759512139,0.0,0.0,0.0
1759512144,0.0,0.0,0.0
1759512149,0.0,0.0,0.0
1759512154,0.0,0.0,0.0
1759512159,0.0,0.0,0.0
1759512159,0.0,0.0,0.0
1759512164,0.0,0.0,0.0
1759512169,0.0,0.0,0.0
1759512174,0.0,0.0,0.0
1759512179,0.0,0.0,0.0
1759512184,0.0,0.0,0.0
1759512189,0.0,0.0,0.0
1759512194,0.0,0.0,0.0
1759512199,0.0,0.0,0.0
1759512204,0.0,0.0,0.0
1759512209,0.0,0.0,0.0
1759512214,0.0,0.0,0.0
1759512219,0.0,0.0,0.0
1759512219,0.0,0.0,0.0
1759512224,0.0,0.0,0.0
1759512229,0.0,0.0,0.0
1759512234,0.0,0.0,0.0
1759512239,0.0,0.0,0.0
1759512244,0.0,0.0,0.0
1759512249,0.0,0.0,0.0
1759512254,0.0,0.0,0.0
1759512259,0.0,0.0,0.0
1759512264,0.0,0.0,0.0
1759512269,0.0,0.0,0.0
1759512274,0.0,0.0,0.0
1759512279,0.0,0.0,0.0
1759512279,0.0,0.0,0.0
1759512284,0.0,0.0,0.0
1759512289,0.0,0.0,0.0
1759512294,0.0,0.0,0.0
1759512629,0.0,0.0,0.0
1759512634,0.0,0.0,0.0
1759512639,0.0,0.0,0.0
1759512639,0.0,0.0,0.0
1759512644,0.0,0.0,0.0
1759512649,0.0,0.0,0.0
1759512654,0.0,0.0,0.0
1759512659,0.0,0.0,0.0
1759512664,0.0,0.0,0.0
1759512669,0.0,0.0,0.0
1759512674,0.0,0.0,0.0
1759512679,0.0,0.0,0.0
1759512684,0.0,0.0,0.0
1759512689,0.0,0.0,0.0
1759512694,0.0,0.0,0.0
1759512699,0.0,0.0,0.0
1759512699,0.0,0.0,0.0
1759512704,0.0,0.0,0.0
1759512709,0.0,0.0,0.0
1759512714,0.0,0.0,0.0
1759512719,0.0,0.0,0.0
1759512724,0.0,0.0,0.0
1759512729,0.0,0.0,0.0
1759512734,0.0,0.0,0.0
1759512739,0.0,0.0,0.0
1759512744,0.0,0.0,0.0
1759512749,0.0,0.0,0.0
1759512754,0.0,0.0,0.0
1759512759,0.0,0.0,0.0
1759512759,0.0,0.0,0.0
1759512764,0.0,0.0,0.0
1759512769,0.0,0.0,0.0
1759512774,0.0,0.0,0.0
1759512779,0.0,0.0,0.0
1759512784,0.0,0.0,0.0
1759512789,0.0,0.0,0.0
1759512794,0.0,0.0,0.0
1759512799,0.0,0.0,0.0
1759512804,0.0,0.0,0.0
1759512809,0.0,0.0,0.0
1759512814,0.0,0.0,0.0
1759512819,0.0,0.0,0.0
1759512819,0.0,0.0,0.0
1759512824,0.0,0.0,0.0
1759512829,0.0,0.0,0.0
1759512834,0.0,0.0,0.0
1759512839,0.0,0.0,0.0
1759512844,0.0,0.0,0.0
1759512849,0.0,0.0,0.0
1759512854,0.0,0.0,0.0
1759512859,0.0,0.0,0.0
1759512864,0.0,0.0,0.0
1759512869,0.0,0.0,0.0
1759512874,0.0,0.0,0.0
1759512879,0.0,0.0,0.0
1759512879,0.0,0.0,0.0
1759512884,0.0,0.0,0.0
1759512889,0.0,0.0,0.0
1759512894,0.0,0.0,0.0
1759512899,0.0,0.0,0.0
1759512904,0.0,0.0,0.0
1759512909,0.0,0.0,0.0
1759512914,0.0,0.0,0.0
1759512919,0.0,0.0,0.0
1759512924,0.0,0.0,0.0
1759512929,0.0,0.0,0.0
1759512934,0.0,0.0,0.0
1759512939,0.0,0.0,0.0
1759512939,0.0,0.0,0.0
1759512944,0.0,0.0,0.0
1759512949,0.0,0.0,0.0
1759512954,0.0,0.0,0.0
1759512959,0.0,0.0,0.0
1759512964,0.0,0.0,0.0
1759512969,0.0,0.0,0.0
1759512974,0.0,0.0,0.0
1759512979,0.0,0.0,0.0
1759512984,0.0,0.0,0.0
1759512989,0.0,0.0,0.0
1759512994,0.0,0.0,0.0
1759512999,0.0,0.0,0.0
1759512999,0.0,0.0,0.0
1759513004,0.0,0.0,0.0
1759513009,0.0,0.0,0.0
1759513014,0.0,0.0,0.0
1759513019,0.0,0.0,0.0
1759513024,0.0,0.0,0.0
1759513029,0.0,0.0,0.0
1759513034,0.0,0.0,0.0
1759513039,0.0,0.0,0.0
1759513044,0.0,0.0,0.0
1759513049,0.0,0.0,0.0
1759513054,0.0,0.0,0.0
1759513059,0.0,0.0,0.0
1759513059,0.0,0.0,0.0
1759513064,0.0,0.0,0.0
1759513069,0.0,0.0,0.0
1759513074,0.0,0.0,0.0
1759513079,0.0,0.0,0.0
1759513084,0.0,0.0,0.0
1759513089,0.0,0.0,0.0
1759513094,0.0,0.0,0.0
1759513099,0.0,0.0,0.0
1759513104,0.0,0.0,0.0
1759513109,0.0,0.0,0.0
1759513114,0.0,0.0,0.0
1759513119,0.0,0.0,0.0
1759513119,0.0,0.0,0.0
1759513124,0.0,0.0,0.0
1759513129,0.0,0.0,0.0
1759513134,0.0,0.0,0.0
1759513139,0.0,0.0,0.0
1759513144,0.0,0.0,0.0
1759513149,0.0,0.0,0.0
1759513154,0.0,0.0,0.0
1759513159,0.0,0.0,0.0
1759513164,0.0,0.0,0.0
1759513169,0.0,0.0,0.0
1759513174,0.0,0.0,0.0
1759513179,0.0,0.0,0.0
1759513179,0.0,0.0,0.0
1759513184,0.0,0.0,0.0
1759513189,0.0,0.0,0.0
1759513194,0.0,0.0,0.0
1759513199,0.0,0.0,0.0
1759513204,0.0,0.0,0.0
1759513209,0.0,0.0,0.0
1759513214,0.0,0.0,0.0
1759513219,0.0,0.0,0.0
1759513224,0.0,0.0,0.0
1759513229,0.0,0.0,0.0
1759513234,0.0,0.0,0.0
1759513239,0.0,0.0,0.0
1759513239,0.0,0.0,0.0
1759513244,0.0,0.0,0.0
1759513249,0.0,0.0,0.0
1759513254,0.0,0.0,0.0
1759513259,0.0,0.0,0.0
1759513264,0.0,0.0,0.0
1759513269,0.0,0.0,0.0
1759513274,0.0,0.0,0.0
1759513279,0.0,0.0,0.0
1759513284,0.0,0.0,0.0
1759513289,0.0,0.0,0.0
1759513294,0.0,0.0,0.0
1759513299,0.0,0.0,0.0
1759513299,0.0,0.0,0.0
1759513304,0.0,0.0,0.0
1759513309,0.0,0.0,0.0
1759513314,0.0,0.0,0.0
1759513319,0.0,0.0,0.0
1759513324,0.0,0.0,0.0
1759513329,0.0,0.0,0.0
1759513334,0.0,0.0,0.0
1759513339,0.0,0.0,0.0
1759513344,0.0,0.0,0.0
1759513349,0.0,0.0,0.0
1759513354,0.0,0.0,0.0
1759513359,0.0,0.0,0.0
1759513359,0.0,0.0,0.0
1759513364,0.0,0.0,0.0
1759513369,0.0,0.0,0.0
1759513374,0.0,0.0,0.0
1759513379,0.0,0.0,0.0
1759513384,0.0,0.0,0.0
1759513389,0.0,0.0,0.0
1759513394,0.0,0.0,0.0
1759513399,0.0,0.0,0.0
1759513404,0.0,0.0,0.0
1759513409,0.0,0.0,0.0
1759513414,0.0,0.0,0.0
1759513419,0.0,0.0,0.0
1759513419,0.0,0.0,0.0
1759513424,0.0,0.0,0.0
1759513429,0.0,0.0,0.0
1759513434,0.0,0.0,0.0
1759513769,0.0,0.0,0.0
1759513774,0.0,0.0,0.0
1759513779,0.0,0.0,0.0
1759513779,0.0,0.0,0.0
1759513784,0.0,0.0,0.0
1759513789,0.0,0.0,0.0
1759513794,0.0,0.0,0.0
1759513799,0.0,0.0,0.0
1759513804,0.0,0.0,0.0
1759513809,0.0,0.0,0.0
1759513814,0.0,0.0,0.0
1759513819,0.0,0.0,0.0
1759513824,0.0,0.0,0.0
1759513829,0.0,0.0,0.0
1759513834,0.0,0.0,0.0
1759513839,0.0,0.0,0.0
1759513839,0.0,0.0,0.0
1759513844,0.0,0.0,0.0
1759513849,0.0,0.0,0.0
1759513854,0.0,0.0,0.0
1759513859,0.0,0.0,0.0
1759513864,0.0,0.0,0.0
1759513869,0.0,0.0,0.0
1759513874,0.0,0.0,0.0
1759513879,0.0,0.0,0.0
1759513884,0.0,0.0,0.0
1759513889,0.0,0.0,0.0
1759513894,0.0,0.0,0.0
1759513899,0.0,0.0,0.0
1759513899,0.0,0.0,0.0
1759513904,0.0,0.0,0.0
1759513909,0.0,0.0,0.0
1759513914,0.0,0.0,0.0
1759513919,0.0,0.0,0.0
1759513924,0.0,0.0,0.0
1759513929,0.0,0.0,0.0
1759513934,0.0,0.0,0.0
1759513939,0.0,0.0,0.0
1759513944,0.0,0.0,0.0
1759513949,0.0,0.0,0.0
1759513954,0.0,0.0,0.0
1759513959,0.0,0.0,0.0
