,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity_x,srv-user_autoscaler_excess_burst_capacity_y
48,1752882138,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
49,1752882143,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
50,1752882148,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
51,1752882153,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
52,1752882158,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
53,1752882163,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
54,1752882168,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
55,1752882173,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
56,1752882178,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
57,1752882183,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
58,1752882188,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
59,1752882193,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
60,1752882198,5.0,0.0,0.0,11.0,5.0,10.999999,11.0,70.0,-222.0,-222.0
