,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
25,1752147535,5.0,0.0,5.0,5.0,0.709153,0.649578,70.0,288.0,0.19925490378597172
26,1752147540,5.0,0.0,5.0,5.0,0.709153,0.649578,70.0,288.0,0.19699390659501467
27,1752147545,5.0,0.0,5.0,5.0,0.709153,0.649578,70.0,288.0,0.20080299505706498
28,1752147550,5.0,0.0,5.0,5.0,0.709153,0.649578,70.0,288.0,0.20864013031097361
29,1752147555,5.0,0.0,5.0,5.0,0.709153,0.649578,70.0,288.0,0.22510116624807575
30,1752147560,5.0,0.0,5.0,5.0,0.780072,1.533221,70.0,287.0,0.23625490453340117
31,1752147565,5.0,0.0,5.0,5.0,0.780072,1.533221,70.0,287.0,0.2331902492713846
32,1752147570,5.0,0.0,5.0,5.0,0.780072,1.533221,70.0,287.0,0.2508875021384171
33,1752147575,5.0,0.0,5.0,5.0,0.780072,1.533221,70.0,287.0,0.24988708778542051
34,1752147580,5.0,0.0,5.0,5.0,0.780072,1.533221,70.0,287.0,0.2513220972156981
35,1752147585,5.0,0.0,5.0,5.0,0.780072,1.533221,70.0,287.0,0.24533753754208776
36,1752147590,5.0,0.0,5.0,5.0,0.904878,0.827107,70.0,288.0,0.24313420713580408
37,1752147595,5.0,0.0,5.0,5.0,0.904878,0.827107,70.0,288.0,0.2342488916632024
38,1752147600,5.0,0.0,5.0,5.0,0.904878,0.827107,70.0,288.0,0.22295557968590538
39,1752147605,5.0,0.0,5.0,5.0,0.904878,0.827107,70.0,288.0,0.23966040809190636
40,1752147610,5.0,0.0,5.0,5.0,0.904878,0.827107,70.0,288.0,0.23338268922121214
41,1752147615,5.0,0.0,5.0,5.0,0.904878,0.827107,70.0,288.0,0.22897383701672194
42,1752147620,5.0,0.0,5.0,5.0,0.898699,0.851701,70.0,288.0,0.23765631229962095
43,1752147625,5.0,0.0,5.0,5.0,0.898699,0.851701,70.0,288.0,0.2422530734704529
44,1752147630,5.0,0.0,5.0,5.0,0.898699,0.851701,70.0,288.0,0.24193643971107148
45,1752147635,5.0,0.0,5.0,5.0,0.898699,0.851701,70.0,288.0,0.2449849695417945
46,1752147640,5.0,0.0,5.0,5.0,0.898699,0.851701,70.0,288.0,0.2341410565964806
47,1752147645,5.0,0.0,5.0,5.0,0.898699,0.851701,70.0,288.0,0.24136802398563034
48,1752147650,5.0,0.0,5.0,5.0,0.91615,1.062281,70.0,287.0,0.23583524537643466
49,1752147655,5.0,0.0,5.0,5.0,0.91615,1.062281,70.0,287.0,0.2369140418763251
50,1752147660,5.0,0.0,5.0,5.0,0.91615,1.062281,70.0,287.0,0.24316747104055536
51,1752147665,5.0,0.0,5.0,5.0,0.91615,1.062281,70.0,287.0,0.2368979829078371
52,1752147670,5.0,0.0,5.0,5.0,0.91615,1.062281,70.0,287.0,0.2459364067108294
53,1752147675,5.0,0.0,5.0,5.0,0.91615,1.062281,70.0,287.0,0.23736126532803067
54,1752147680,5.0,0.0,5.0,5.0,0.975016,0.945187,70.0,288.0,0.23819881311979088
55,1752147685,5.0,0.0,5.0,5.0,0.975016,0.945187,70.0,288.0,0.24652051378948459
56,1752147690,5.0,0.0,5.0,5.0,0.975016,0.945187,70.0,288.0,0.24414926248253288
57,1752147695,5.0,0.0,5.0,5.0,0.975016,0.945187,70.0,288.0,0.23351116598678506
58,1752147700,5.0,0.0,5.0,5.0,0.975016,0.945187,70.0,288.0,0.2187240385547462
59,1752147705,5.0,0.0,5.0,5.0,0.975016,0.945187,70.0,288.0,0.22739301071592233
60,1752147710,5.0,0.0,5.0,5.0,0.926613,0.899293,70.0,288.0,0.23531023624399822
