,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
27,1752139836,5.0,0.0,5.0,5.0,53.555143,55.756885,70.0,233.0,0.769693126335674
28,1752139841,5.0,0.0,5.0,5.0,53.555143,55.756885,70.0,233.0,0.6033046051366958
29,1752139846,5.0,0.0,5.0,5.0,145.918894,262.25,70.0,26.0,0.5198759158103774
30,1752139851,5.0,0.0,5.0,5.0,145.918894,262.25,70.0,26.0,0.4395241876389444
31,1752139856,5.0,0.0,5.0,5.0,145.918894,262.25,70.0,26.0,0.2960143122463982
32,1752139861,5.0,0.0,5.0,5.0,145.918894,262.25,70.0,26.0,0.15974160234632473
33,1752139866,5.0,0.0,5.0,5.0,145.918894,262.25,70.0,26.0,0.09284565137143548
34,1752139871,5.0,0.0,5.0,5.0,145.918894,262.25,70.0,26.0,0.005435516169070917
35,1752139876,5.0,0.0,5.0,5.0,115.739451,0.0,70.0,289.0,0.0054549233177644246
36,1752139881,5.0,0.0,5.0,5.0,115.739451,0.0,70.0,289.0,0.0034651706462889855
37,1752139886,5.0,0.0,5.0,5.0,115.739451,0.0,70.0,289.0,0.005320395906649875
38,1752139891,5.0,0.0,5.0,5.0,115.739451,0.0,70.0,289.0,0.01666902180377949
39,1752139896,5.0,0.0,5.0,5.0,115.739451,0.0,70.0,289.0,0.018019173325197108
40,1752139901,5.0,0.0,5.0,5.0,115.739451,0.0,70.0,289.0,0.026215175987093248
41,1752139906,5.0,0.0,5.0,5.0,2.678042,0.627922,70.0,288.0,0.05025619847862077
42,1752139911,5.0,0.0,5.0,5.0,2.678042,0.627922,70.0,288.0,0.06105944732921192
43,1752139916,5.0,0.0,5.0,5.0,2.678042,0.627922,70.0,288.0,0.0692193922054065
44,1752139921,5.0,0.0,5.0,5.0,2.678042,0.627922,70.0,288.0,0.09789264776656686
45,1752139926,5.0,0.0,5.0,5.0,2.678042,0.627922,70.0,288.0,0.09473342881716208
46,1752139931,5.0,0.0,5.0,5.0,2.678042,0.627922,70.0,288.0,0.12319202078648775
47,1752139936,5.0,0.0,5.0,5.0,0.565431,0.809341,70.0,288.0,0.13518357710512974
48,1752139941,5.0,0.0,5.0,5.0,0.565431,0.809341,70.0,288.0,0.14847955253116799
49,1752139946,5.0,0.0,5.0,5.0,0.565431,0.809341,70.0,288.0,0.14808256032117836
50,1752139951,5.0,0.0,5.0,5.0,0.565431,0.809341,70.0,288.0,0.1593874866171705
51,1752139956,5.0,0.0,5.0,5.0,0.565431,0.809341,70.0,288.0,0.16579086526119005
52,1752139961,5.0,0.0,5.0,5.0,0.565431,0.809341,70.0,288.0,0.16996050543541877
53,1752139966,5.0,0.0,5.0,5.0,6.563115,68.760688,70.0,220.0,0.17428819742821938
54,1752139971,5.0,0.0,5.0,5.0,6.563115,68.760688,70.0,220.0,0.21491252498965818
55,1752139976,5.0,0.0,5.0,5.0,6.563115,68.760688,70.0,220.0,0.23373997359003656
56,1752139981,5.0,0.0,5.0,5.0,6.563115,68.760688,70.0,220.0,0.24014643298578586
57,1752139986,5.0,0.0,5.0,5.0,6.563115,68.760688,70.0,220.0,0.23944417254276912
58,1752139991,5.0,0.0,5.0,5.0,6.563115,68.760688,70.0,220.0,0.24881247031946227
59,1752139996,5.0,0.0,5.0,5.0,9.606273,0.915995,70.0,288.0,0.24239035728673847
60,1752140001,5.0,0.0,5.0,5.0,9.606273,0.915995,70.0,288.0,0.24937288633821192
