,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
25,1752147535,5.0,0.0,5.0,5.0,11.474365,10.327458,70.0,278.0,0.7922761120766795
26,1752147540,5.0,0.0,5.0,5.0,11.474365,10.327458,70.0,278.0,0.8271271073453186
27,1752147545,5.0,0.0,5.0,5.0,11.474365,10.327458,70.0,278.0,0.8241692289065523
28,1752147550,5.0,0.0,5.0,5.0,11.474365,10.327458,70.0,278.0,0.8780672023467069
29,1752147555,5.0,0.0,5.0,5.0,11.474365,10.327458,70.0,278.0,0.9262694872500782
30,1752147560,5.0,0.0,5.0,5.0,14.935684,27.536542,70.0,261.0,0.9435270624247879
31,1752147565,5.0,0.0,5.0,5.0,14.935684,27.536542,70.0,261.0,0.9666579702238698
32,1752147570,5.0,0.0,5.0,5.0,14.935684,27.536542,70.0,261.0,0.989125749078547
33,1752147575,5.0,0.0,5.0,5.0,14.935684,27.536542,70.0,261.0,1.018057070273985
34,1752147580,5.0,0.0,5.0,5.0,14.935684,27.536542,70.0,261.0,1.0127259574111254
35,1752147585,5.0,0.0,5.0,5.0,14.935684,27.536542,70.0,261.0,1.0125233904375532
36,1752147590,5.0,0.0,5.0,5.0,17.067881,10.986109,70.0,278.0,1.015607403161782
37,1752147595,5.0,0.0,5.0,5.0,17.067881,10.986109,70.0,278.0,1.000504933001597
38,1752147600,5.0,0.0,5.0,5.0,17.067881,10.986109,70.0,278.0,0.9114001946444215
39,1752147605,5.0,0.0,5.0,5.0,17.067881,10.986109,70.0,278.0,0.9720203004886345
40,1752147610,5.0,0.0,5.0,5.0,17.067881,10.986109,70.0,278.0,0.9671099749125113
41,1752147615,5.0,0.0,5.0,5.0,17.067881,10.986109,70.0,278.0,0.9642826174588115
42,1752147620,5.0,0.0,5.0,5.0,15.816878,15.442912,70.0,273.0,0.9618072642425162
43,1752147625,5.0,0.0,5.0,5.0,15.816878,15.442912,70.0,273.0,0.9208939429046087
44,1752147630,5.0,0.0,5.0,5.0,15.816878,15.442912,70.0,273.0,0.9366927363563706
45,1752147635,5.0,0.0,5.0,5.0,15.816878,15.442912,70.0,273.0,0.96124665115341
46,1752147640,5.0,0.0,5.0,5.0,15.816878,15.442912,70.0,273.0,0.9615379283494218
47,1752147645,5.0,0.0,5.0,5.0,15.816878,15.442912,70.0,273.0,0.9711884846675685
48,1752147650,5.0,0.0,5.0,5.0,16.581756,18.22151,70.0,270.0,0.9363689576365652
49,1752147655,5.0,0.0,5.0,5.0,16.581756,18.22151,70.0,270.0,0.9336296131018299
50,1752147660,5.0,0.0,5.0,5.0,16.581756,18.22151,70.0,270.0,0.9590766891272843
51,1752147665,5.0,0.0,5.0,5.0,16.581756,18.22151,70.0,270.0,0.9649055852874685
52,1752147670,5.0,0.0,5.0,5.0,16.581756,18.22151,70.0,270.0,0.9888404047001755
53,1752147675,5.0,0.0,5.0,5.0,16.581756,18.22151,70.0,270.0,1.0101206173623225
54,1752147680,5.0,0.0,5.0,5.0,18.027778,30.408516,70.0,258.0,1.0197917747146317
55,1752147685,5.0,0.0,5.0,5.0,18.027778,30.408516,70.0,258.0,1.0153815288166752
56,1752147690,5.0,0.0,5.0,5.0,18.027778,30.408516,70.0,258.0,0.9958091291191071
57,1752147695,5.0,0.0,5.0,5.0,18.027778,30.408516,70.0,258.0,0.9834767460990799
58,1752147700,5.0,0.0,5.0,5.0,18.027778,30.408516,70.0,258.0,0.9748344319563181
59,1752147705,5.0,0.0,5.0,5.0,18.027778,30.408516,70.0,258.0,0.9261339702907818
60,1752147710,5.0,0.0,5.0,5.0,17.808319,17.529083,70.0,271.0,0.9380342665490038
